cart_id,session_id,customer_id,created_at,last_updated,cart_value,item_count,status
cart_0066,sess_0066,cust_119,2026-07-27 21:22:11+00:00,2026-07-27 21:36:19+00:00,60.77,3,recovered
cart_0067,sess_0067,cust_149,2026-07-14 01:35:20+00:00,2026-07-14 01:47:08+00:00,22.57,1,abandoned
cart_0068,sess_0068,cust_146,2026-07-05 14:55:36+00:00,2026-07-05 15:09:09+00:00,66.11,1,abandoned
cart_0069,sess_0069,,2026-07-28 19:41:52+00:00,2026-07-28 19:45:25+00:00,60.62,1,abandoned
cart_0071,sess_0071,cust_109,2026-07-08 19:20:21+00:00,2026-07-08 19:22:48+00:00,52.18,2,abandoned
cart_0072,sess_0072,,2026-07-05 08:27:13+00:00,2026-07-05 08:34:00+00:00,24.48,3,recovered
cart_0075,sess_0075,,2026-07-02 22:04:42+00:00,2026-07-02 22:09:39+00:00,55.67,2,abandoned
cart_0076,sess_0076,cust_108,2026-07-21 03:32:15+00:00,2026-07-21 03:42:21+00:00,20.41,1,abandoned
cart_0077,sess_0077,,2026-07-29 13:19:13+00:00,2026-07-29 13:24:15+00:00,63.25,2,abandoned
cart_0078,sess_0078,cust_148,2026-07-31 08:12:51+00:00,2026-07-31 08:17:22+00:00,22.42,3,abandoned
cart_0079,sess_0079,cust_124,2026-07-27 23:14:55+00:00,2026-07-27 23:24:03+00:00,28.28,3,active
cart_0080,sess_0080,,2026-07-30 11:00:08+00:00,2026-07-30 11:03:26+00:00,20.83,1,abandoned
cart_0081,sess_0081,cust_129,2026-07-12 19:40:04+00:00,2026-07-12 19:44:46+00:00,39.49,3,abandoned
cart_0083,sess_0083,,2026-07-21 13:03:32+00:00,2026-07-21 13:05:40+00:00,53.5,1,abandoned
cart_0085,sess_0085,cust_114,2026-07-11 05:22:20+00:00,2026-07-11 05:25:54+00:00,54.66,1,active
cart_0086,sess_0086,cust_150,2026-07-26 08:39:46+00:00,2026-07-26 08:43:25+00:00,46.57,2,abandoned
cart_0087,sess_0087,cust_149,2026-07-12 18:41:11+00:00,2026-07-12 18:52:30+00:00,46.29,3,converted
cart_0089,sess_0089,cust_137,2026-07-18 11:50:22+00:00,2026-07-18 12:03:06+00:00,21.86,3,recovered
cart_0092,sess_0092,cust_147,2026-07-24 13:34:03+00:00,2026-07-24 13:49:09+00:00,39.65,1,converted
cart_0094,sess_0094,cust_127,2026-07-28 20:25:26+00:00,2026-07-28 20:35:54+00:00,31.4,1,converted
cart_0095,sess_0095,cust_140,2026-07-01 03:20:26+00:00,2026-07-01 03:35:10+00:00,33.7,2,abandoned
cart_0096,sess_0096,cust_110,2026-07-25 22:29:41+00:00,2026-07-25 22:45:02+00:00,27.93,2,abandoned
cart_0097,sess_0097,cust_137,2026-07-16 19:11:06+00:00,2026-07-16 19:15:16+00:00,33.09,1,abandoned
cart_0098,sess_0098,cust_116,2026-07-10 11:56:47+00:00,2026-07-10 12:09:57+00:00,28.81,3,abandoned
cart_0099,sess_0099,,2026-07-14 00:40:56+00:00,2026-07-14 00:51:27+00:00,40.06,3,converted
