event_id,session_id,event_type,event_at,product_id,cart_value
103,sess_0037,view_product,2026-07-04 16:42:05+00:00,prod_1039,
104,sess_0037,add_to_cart,2026-07-04 16:44:57+00:00,prod_1049,51.76
105,sess_0037,begin_checkout,2026-07-04 16:49:25+00:00,,51.76
106,sess_0037,add_payment_info,2026-07-04 16:54:15+00:00,,51.76
107,sess_0037,purchase_complete,2026-07-04 16:55:46+00:00,,51.76
108,sess_0038,view_product,2026-07-27 23:15:29+00:00,prod_1029,
109,sess_0038,add_to_cart,2026-07-27 23:16:18+00:00,prod_1046,29.07
110,sess_0039,view_product,2026-07-03 05:04:15+00:00,prod_1005,
111,sess_0039,add_to_cart,2026-07-03 05:07:57+00:00,prod_1027,47.56
112,sess_0040,view_product,2026-07-13 21:20:10+00:00,prod_1001,
113,sess_0040,add_to_cart,2026-07-13 21:23:20+00:00,prod_1020,66.21
114,sess_0040,begin_checkout,2026-07-13 21:27:04+00:00,,66.21
115,sess_0040,add_payment_info,2026-07-13 21:31:53+00:00,,66.21
116,sess_0041,view_product,2026-07-01 14:13:37+00:00,prod_1009,
117,sess_0041,add_to_cart,2026-07-01 14:18:20+00:00,prod_1002,50.51
118,sess_0042,view_product,2026-07-05 16:51:32+00:00,prod_1014,
119,sess_0042,add_to_cart,2026-07-05 16:55:34+00:00,prod_1021,60.67
120,sess_0042,begin_checkout,2026-07-05 16:58:58+00:00,,60.67
121,sess_0042,add_payment_info,2026-07-05 17:02:43+00:00,,60.67
122,sess_0043,view_product,2026-07-02 12:44:55+00:00,prod_1016,
123,sess_0044,view_product,2026-07-20 05:37:51+00:00,prod_1014,
124,sess_0045,view_product,2026-07-25 13:27:24+00:00,prod_1020,
125,sess_0046,view_product,2026-07-30 11:22:16+00:00,prod_1038,
126,sess_0046,add_to_cart,2026-07-30 11:24:30+00:00,prod_1007,61.35
127,sess_0047,view_product,2026-07-26 20:39:36+00:00,prod_1005,
128,sess_0047,add_to_cart,2026-07-26 20:44:05+00:00,prod_1042,15.76
129,sess_0047,begin_checkout,2026-07-26 20:47:50+00:00,,15.76
130,sess_0047,add_payment_info,2026-07-26 20:48:54+00:00,,15.76
131,sess_0048,view_product,2026-07-17 23:45:04+00:00,prod_1028,
132,sess_0048,add_to_cart,2026-07-17 23:47:31+00:00,prod_1021,64.84
133,sess_0048,begin_checkout,2026-07-17 23:48:25+00:00,,64.84
134,sess_0048,add_payment_info,2026-07-17 23:52:25+00:00,,64.84
135,sess_0049,view_product,2026-07-13 12:19:11+00:00,prod_1014,
136,sess_0049,add_to_cart,2026-07-13 12:22:22+00:00,prod_1017,31.78
137,sess_0050,view_product,2026-07-18 00:25:48+00:00,prod_1032,
138,sess_0050,add_to_cart,2026-07-18 00:30:42+00:00,prod_1049,56.44
139,sess_0051,view_product,2026-07-01 03:26:02+00:00,prod_1043,
140,sess_0051,add_to_cart,2026-07-01 03:29:20+00:00,prod_1031,46.86
141,sess_0052,view_product,2026-07-11 12:50:50+00:00,prod_1015,
142,sess_0052,add_to_cart,2026-07-11 12:52:01+00:00,prod_1047,33.93
143,sess_0052,begin_checkout,2026-07-11 12:56:45+00:00,,33.93
144,sess_0053,view_product,2026-07-16 10:06:35+00:00,prod_1007,
145,sess_0053,add_to_cart,2026-07-16 10:08:24+00:00,prod_1019,36.65
146,sess_0053,begin_checkout,2026-07-16 10:11:08+00:00,,36.65
147,sess_0053,add_payment_info,2026-07-16 10:15:51+00:00,,36.65
148,sess_0053,purchase_complete,2026-07-16 10:18:21+00:00,,36.65
149,sess_0054,view_product,2026-07-21 17:56:30+00:00,prod_1031,
150,sess_0054,add_to_cart,2026-07-21 18:00:25+00:00,prod_1022,72.93
151,sess_0054,begin_checkout,2026-07-21 18:02:44+00:00,,72.93
152,sess_0055,view_product,2026-07-03 21:05:29+00:00,prod_1020,
153,sess_0055,add_to_cart,2026-07-03 21:06:22+00:00,prod_1016,48.48
154,sess_0056,view_product,2026-07-08 19:05:23+00:00,prod_1020,
155,sess_0056,add_to_cart,2026-07-08 19:06:03+00:00,prod_1040,20.95
156,sess_0056,begin_checkout,2026-07-08 19:07:59+00:00,,20.95
157,sess_0057,view_product,2026-07-08 06:23:21+00:00,prod_1029,
158,sess_0058,view_product,2026-07-10 01:15:20+00:00,prod_1005,
159,sess_0058,add_to_cart,2026-07-10 01:17:29+00:00,prod_1017,50.39
160,sess_0058,begin_checkout,2026-07-10 01:19:20+00:00,,50.39
161,sess_0059,view_product,2026-07-30 09:43:03+00:00,prod_1039,
162,sess_0059,add_to_cart,2026-07-30 09:45:40+00:00,prod_1029,43.12
163,sess_0060,view_product,2026-07-17 19:40:06+00:00,prod_1028,
164,sess_0060,add_to_cart,2026-07-17 19:43:01+00:00,prod_1039,16.55
165,sess_0060,begin_checkout,2026-07-17 19:45:08+00:00,,16.55
166,sess_0060,add_payment_info,2026-07-17 19:45:28+00:00,,16.55
167,sess_0060,purchase_complete,2026-07-17 19:47:55+00:00,,16.55
168,sess_0061,view_product,2026-07-15 10:08:34+00:00,prod_1031,
169,sess_0061,add_to_cart,2026-07-15 10:11:42+00:00,prod_1027,34.26
170,sess_0061,begin_checkout,2026-07-15 10:12:45+00:00,,34.26
171,sess_0061,add_payment_info,2026-07-15 10:15:43+00:00,,34.26
172,sess_0062,view_product,2026-07-27 20:04:01+00:00,prod_1021,
173,sess_0062,add_to_cart,2026-07-27 20:05:10+00:00,prod_1050,66.89
174,sess_0062,begin_checkout,2026-07-27 20:05:20+00:00,,66.89
175,sess_0063,view_product,2026-07-12 22:42:35+00:00,prod_1036,
176,sess_0063,add_to_cart,2026-07-12 22:43:52+00:00,prod_1019,67.85
177,sess_0064,view_product,2026-07-20 08:43:02+00:00,prod_1036,
178,sess_0064,add_to_cart,2026-07-20 08:46:40+00:00,prod_1006,74.54
179,sess_0064,begin_checkout,2026-07-20 08:47:48+00:00,,74.54
180,sess_0064,add_payment_info,2026-07-20 08:48:58+00:00,,74.54
181,sess_0064,purchase_complete,2026-07-20 08:50:26+00:00,,74.54
182,sess_0065,view_product,2026-07-16 08:54:13+00:00,prod_1039,
183,sess_0065,add_to_cart,2026-07-16 08:58:43+00:00,prod_1048,66.84
184,sess_0065,begin_checkout,2026-07-16 09:01:14+00:00,,66.84
185,sess_0065,add_payment_info,2026-07-16 09:04:56+00:00,,66.84
186,sess_0066,view_product,2026-07-27 21:26:56+00:00,prod_1031,
187,sess_0066,add_to_cart,2026-07-27 21:30:02+00:00,prod_1022,60.77
188,sess_0066,begin_checkout,2026-07-27 21:33:25+00:00,,60.77
189,sess_0066,add_payment_info,2026-07-27 21:36:19+00:00,,60.77
190,sess_0067,view_product,2026-07-14 01:38:47+00:00,prod_1043,
191,sess_0067,add_to_cart,2026-07-14 01:40:14+00:00,prod_1032,22.57
192,sess_0067,begin_checkout,2026-07-14 01:43:13+00:00,,22.57
193,sess_0067,add_payment_info,2026-07-14 01:47:08+00:00,,22.57
194,sess_0068,view_product,2026-07-05 14:58:01+00:00,prod_1022,
195,sess_0068,add_to_cart,2026-07-05 15:01:34+00:00,prod_1042,66.11
196,sess_0068,begin_checkout,2026-07-05 15:06:17+00:00,,66.11
197,sess_0068,add_payment_info,2026-07-05 15:09:09+00:00,,66.11
198,sess_0069,view_product,2026-07-28 19:44:29+00:00,prod_1015,
199,sess_0069,add_to_cart,2026-07-28 19:45:25+00:00,prod_1028,60.62
200,sess_0070,view_product,2026-07-23 10:56:51+00:00,prod_1023,
201,sess_0071,view_product,2026-07-08 19:21:58+00:00,prod_1012,
202,sess_0071,add_to_cart,2026-07-08 19:22:48+00:00,prod_1040,52.18
203,sess_0072,view_product,2026-07-05 08:27:27+00:00,prod_1030,
204,sess_0072,add_to_cart,2026-07-05 08:30:04+00:00,prod_1044,24.48
205,sess_0072,begin_checkout,2026-07-05 08:34:00+00:00,,24.48
206,sess_0073,view_product,2026-07-28 11:02:10+00:00,prod_1025,
207,sess_0074,view_product,2026-07-10 10:49:55+00:00,prod_1044,
208,sess_0075,view_product,2026-07-02 22:07:52+00:00,prod_1015,
209,sess_0075,add_to_cart,2026-07-02 22:09:39+00:00,prod_1040,55.67
210,sess_0076,view_product,2026-07-21 03:32:42+00:00,prod_1038,
211,sess_0076,add_to_cart,2026-07-21 03:35:58+00:00,prod_1047,20.41
212,sess_0076,begin_checkout,2026-07-21 03:38:39+00:00,,20.41
213,sess_0076,add_payment_info,2026-07-21 03:42:21+00:00,,20.41
214,sess_0077,view_product,2026-07-29 13:21:34+00:00,prod_1031,
215,sess_0077,add_to_cart,2026-07-29 13:24:15+00:00,prod_1048,63.25
216,sess_0078,view_product,2026-07-31 08:13:47+00:00,prod_1026,
217,sess_0078,add_to_cart,2026-07-31 08:14:04+00:00,prod_1017,22.42
218,sess_0078,begin_checkout,2026-07-31 08:17:22+00:00,,22.42
219,sess_0079,view_product,2026-07-27 23:19:06+00:00,prod_1002,
220,sess_0079,add_to_cart,2026-07-27 23:24:03+00:00,prod_1021,28.28
221,sess_0080,view_product,2026-07-30 11:00:41+00:00,prod_1003,
222,sess_0080,add_to_cart,2026-07-30 11:03:26+00:00,prod_1032,20.83
223,sess_0081,view_product,2026-07-12 19:43:46+00:00,prod_1042,
224,sess_0081,add_to_cart,2026-07-12 19:44:46+00:00,prod_1032,39.49
225,sess_0082,view_product,2026-07-07 16:11:53+00:00,prod_1035,
226,sess_0083,view_product,2026-07-21 13:04:44+00:00,prod_1030,
227,sess_0083,add_to_cart,2026-07-21 13:05:40+00:00,prod_1043,53.5
228,sess_0084,view_product,2026-07-11 08:56:58+00:00,prod_1014,
229,sess_0085,view_product,2026-07-11 05:23:36+00:00,prod_1035,
230,sess_0085,add_to_cart,2026-07-11 05:25:54+00:00,prod_1012,54.66
231,sess_0086,view_product,2026-07-26 08:42:11+00:00,prod_1004,
232,sess_0086,add_to_cart,2026-07-26 08:43:25+00:00,prod_1048,46.57
233,sess_0087,view_product,2026-07-12 18:43:14+00:00,prod_1040,
234,sess_0087,add_to_cart,2026-07-12 18:43:46+00:00,prod_1047,46.29
235,sess_0087,begin_checkout,2026-07-12 18:47:50+00:00,,46.29
236,sess_0087,add_payment_info,2026-07-12 18:48:15+00:00,,46.29
237,sess_0087,purchase_complete,2026-07-12 18:52:30+00:00,,46.29
238,sess_0088,view_product,2026-07-03 02:57:43+00:00,prod_1018,
239,sess_0089,view_product,2026-07-18 11:54:24+00:00,prod_1033,
240,sess_0089,add_to_cart,2026-07-18 11:58:14+00:00,prod_1007,21.86
241,sess_0089,begin_checkout,2026-07-18 12:03:06+00:00,,21.86
242,sess_0090,view_product,2026-07-14 12:23:14+00:00,prod_1028,
243,sess_0091,view_product,2026-07-12 05:34:19+00:00,prod_1006,
244,sess_0092,view_product,2026-07-24 13:39:00+00:00,prod_1036,
245,sess_0092,add_to_cart,2026-07-24 13:41:58+00:00,prod_1043,39.65
246,sess_0092,begin_checkout,2026-07-24 13:45:44+00:00,,39.65
247,sess_0092,add_payment_info,2026-07-24 13:46:20+00:00,,39.65
248,sess_0092,purchase_complete,2026-07-24 13:49:09+00:00,,39.65
249,sess_0093,view_product,2026-07-08 03:58:56+00:00,prod_1037,
250,sess_0094,view_product,2026-07-28 20:25:49+00:00,prod_1039,
251,sess_0094,add_to_cart,2026-07-28 20:28:15+00:00,prod_1002,31.4
252,sess_0094,begin_checkout,2026-07-28 20:31:03+00:00,,31.4
253,sess_0094,add_payment_info,2026-07-28 20:34:12+00:00,,31.4
254,sess_0094,purchase_complete,2026-07-28 20:35:54+00:00,,31.4
255,sess_0095,view_product,2026-07-01 03:24:10+00:00,prod_1030,
256,sess_0095,add_to_cart,2026-07-01 03:27:14+00:00,prod_1011,33.7
257,sess_0095,begin_checkout,2026-07-01 03:30:10+00:00,,33.7
258,sess_0095,add_payment_info,2026-07-01 03:35:10+00:00,,33.7
259,sess_0096,view_product,2026-07-25 22:33:28+00:00,prod_1032,
260,sess_0096,add_to_cart,2026-07-25 22:37:24+00:00,prod_1027,27.93
261,sess_0096,begin_checkout,2026-07-25 22:41:56+00:00,,27.93
262,sess_0096,add_payment_info,2026-07-25 22:45:02+00:00,,27.93
263,sess_0097,view_product,2026-07-16 19:14:38+00:00,prod_1039,
264,sess_0097,add_to_cart,2026-07-16 19:15:16+00:00,prod_1001,33.09
265,sess_0098,view_product,2026-07-10 11:58:26+00:00,prod_1009,
266,sess_0098,add_to_cart,2026-07-10 12:01:50+00:00,prod_1035,28.81
267,sess_0098,begin_checkout,2026-07-10 12:06:46+00:00,,28.81
268,sess_0098,add_payment_info,2026-07-10 12:09:57+00:00,,28.81
269,sess_0099,view_product,2026-07-14 00:44:45+00:00,prod_1037,
270,sess_0099,add_to_cart,2026-07-14 00:48:22+00:00,prod_1046,40.06
271,sess_0099,begin_checkout,2026-07-14 00:49:30+00:00,,40.06
272,sess_0099,add_payment_info,2026-07-14 00:49:50+00:00,,40.06
273,sess_0099,purchase_complete,2026-07-14 00:51:27+00:00,,40.06
274,sess_0100,view_product,2026-07-08 15:55:16+00:00,prod_1020,
